"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"89" "cforest_mtry4" 1.3718 0.836498300066289 0.8323 0.8365
"93" "cforest_mtry64" 1.4312 0.83773697709013 0.829 0.8377
"33" "avNNet_decay1e04" 1.4507 0.838111106903728 0.8355 0.8381
"119" "gcvEarth_d2" 1.4649 0.838373859241107 0.8258 0.8384
"60" "gbm_1_50" 1.475 0.838556589789566 0.829 0.8386
"92" "cforest_mtry32" 1.5197 0.839321534212032 0.8323 0.8393
"94" "cforest_mtry128" 1.5337 0.839548524476736 0.829 0.8395
"6" "LMT_CV" 1.5384 0.839624511340443 0.8613 0.8396
"91" "cforest_mtry16" 1.546 0.839744166841112 0.8419 0.8397
"90" "cforest_mtry8" 1.6035 0.840599339111299 0.8387 0.8406
"7" "LMT_AIC" 1.6197 0.840826166696229 0.8516 0.8408
"32" "mlp_9" 1.6492 0.841221770596658 0.8484 0.8412
"69" "treeBag" 1.6633 0.841404412107554 0.8194 0.8414
"66" "gbm_3_50" 1.688 0.841715369859342 0.8097 0.8417
"50" "svmLinear_C8" 1.7214 0.842116468356076 0.8484 0.8421
"29" "mlp_3" 1.7585 0.842540408683574 0.8387 0.8425
"5" "LMT" 1.8072 0.84306701487551 0.8645 0.8431
"47" "svmLinear_C1" 1.9231 0.844233539518052 0.8581 0.8442
"34" "avNNet_decay01" 1.9274 0.844275810024957 0.8548 0.8443
"48" "svmLinear_C2" 1.934 0.844339450725125 0.8548 0.8443
"49" "svmLinear_C4" 1.934 0.844339450725125 0.8548 0.8443
"72" "bagFDA_prune8" 1.9409 0.84440740087554 0.8516 0.8444
"31" "mlp_7" 1.9536 0.844530626926312 0.8484 0.8445
"30" "mlp_5" 2.1354 0.846342156924495 0.8419 0.8463
"73" "bagFDA_prune16" 2.2265 0.847297239633629 0.8387 0.8473
"101" "parRF_mtry128" 2.4825 0.849655608058526 0.8258 0.8497
"74" "rf_mtry2" 2.4897 0.84970568453532 0.8419 0.8497
"95" "parRF_mtry2" 2.5153 0.849875960628622 0.8419 0.8499
"120" "gcvEarth_d3" 2.5198 0.849904828565291 0.8484 0.8499
"99" "parRF_mtry32" 2.5268 0.849948382581479 0.8226 0.8499
"80" "rf_mtry128" 2.6253 0.85046253447401 0.8226 0.8505
"77" "rf_mtry16" 2.6317 0.850490275783783 0.8194 0.8505
"100" "parRF_mtry64" 2.6773 0.850666250940738 0.8258 0.8507
"78" "rf_mtry32" 2.6968 0.850732262481807 0.829 0.8507
"97" "parRF_mtry8" 2.7033 0.850753184466256 0.829 0.8508
"79" "rf_mtry64" 2.7296 0.850831960027823 0.8258 0.8508
"96" "parRF_mtry4" 2.8253 0.851053441525955 0.829 0.8511
"98" "parRF_mtry16" 2.9071 0.851180039938344 0.8258 0.8512
"75" "rf_mtry4" 2.9741 0.851252795168601 0.8355 0.8513
"76" "rf_mtry8" 3.0035 0.851277794531006 0.8323 0.8513
