"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"53" "svmPoly_d_1_s_0.1" 1.0119 0.83714082703288 0.8321 0.8371
"16" "sda_L0.5" 1.0615 0.840947087449544 0.8397 0.8409
"115" "pls_ncomp2" 1.0654 0.841249739459367 0.8473 0.8412
"117" "simpls_ncomp2" 1.0654 0.841249739459367 0.8473 0.8412
"15" "sda_L0.0" 1.0659 0.841282928740254 0.8244 0.8413
"6" "LMT_CV" 1.2033 0.847695188379261 0.8397 0.8477
"25" "NB" 1.2361 0.84819844081453 0.855 0.8482
"26" "NB_laplace" 1.2361 0.84819844081453 0.855 0.8482
"7" "LMT_AIC" 1.2674 0.848651522307879 0.8397 0.8487
"47" "svmLinear_C1" 1.394 0.854350196896795 0.8397 0.8544
"48" "svmLinear_C2" 1.394 0.854350196896795 0.8397 0.8544
"49" "svmLinear_C4" 1.394 0.854350196896795 0.8397 0.8544
"50" "svmLinear_C8" 1.394 0.854350196896795 0.8397 0.8544
"71" "bagFDA_prune4" 1.408 0.854804050750608 0.8473 0.8548
"72" "bagFDA_prune8" 1.4099 0.854856413080935 0.8626 0.8549
"89" "cforest_mtry4" 1.4959 0.856460186042632 0.8473 0.8565
"13" "JRip_Unp" 1.6868 0.859114923380286 0.8626 0.8591
"73" "bagFDA_prune16" 1.7024 0.859262345788725 0.8626 0.8593
"5" "LMT" 1.7691 0.859758584796019 0.855 0.8598
"9" "ctree_c0.01" 1.7691 0.859758584796019 0.8626 0.8598
"10" "ctree_c0.05" 1.7691 0.859758584796019 0.8626 0.8598
"11" "ctree_c0.99" 1.7691 0.859758584796019 0.855 0.8598
"12" "JRip" 1.7691 0.859758584796019 0.855 0.8598
"18" "fda_prune2" 1.7691 0.859758584796019 0.855 0.8598
"40" "SMV" 1.7691 0.859758584796019 0.855 0.8598
"45" "svmLinear_C0.01" 1.7691 0.859758584796019 0.855 0.8598
"46" "svmLineart_C0.1" 1.7691 0.859758584796019 0.855 0.8598
"52" "svmPoly_d_1_s_0.01" 1.7691 0.859758584796019 0.855 0.8598
"55" "svmPoly_d_2_s_0.01" 1.7691 0.859758584796019 0.855 0.8598
"56" "svmPoly_d_2_s_0.1" 1.7691 0.859758584796019 0.855 0.8598
"58" "svmPoly_d_3_s_0.01" 1.7691 0.859758584796019 0.855 0.8598
"70" "bagFDA_prune2" 1.7691 0.859758584796019 0.855 0.8598
"90" "cforest_mtry8" 1.7691 0.859758584796019 0.855 0.8598
"91" "cforest_mtry16" 1.7691 0.859758584796019 0.855 0.8598
"92" "cforest_mtry32" 1.7691 0.859758584796019 0.855 0.8598
"93" "cforest_mtry64" 1.7691 0.859758584796019 0.855 0.8598
"94" "cforest_mtry128" 1.7691 0.859758584796019 0.855 0.8598
"112" "Ibk_k7" 1.7691 0.859758584796019 0.855 0.8598
"113" "Ibk_k9" 1.7691 0.859758584796019 0.855 0.8598
