"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"58" "svmPoly_d_3_s_0.01" 0.6575 0.936286601134079 0.9194 0.9363
"14" "PART" 0.6579 0.936301394812165 0.9194 0.9363
"62" "gbm_1_150" 0.7699 0.941680806737295 0.9435 0.9417
"85" "rrf_mtry32" 0.7978 0.942784222099692 0.9113 0.9428
"61" "gbm_1_100" 0.8017 0.942923126717708 0.9597 0.9429
"87" "rrf_mtry128" 0.8063 0.943083894259016 0.9194 0.9431
"68" "gbm_3_150" 0.8085 0.943161921934261 0.9516 0.9432
"66" "gbm_3_50" 0.8318 0.943904628153902 0.9597 0.9439
"94" "cforest_mtry128" 0.8346 0.943987911175593 0.9274 0.944
"74" "rf_mtry2" 0.8436 0.94424836076785 0.9355 0.9442
"107" "knn_k9" 0.8436 0.944248362249423 0.9435 0.9442
"91" "cforest_mtry16" 0.8438 0.944253779814354 0.9274 0.9443
"92" "cforest_mtry32" 0.8438 0.944253776735446 0.9355 0.9443
"93" "cforest_mtry64" 0.8438 0.944253776735446 0.9355 0.9443
"63" "gbm_2_50" 0.8529 0.944508707155433 0.9677 0.9445
"84" "rrf_mtry16" 0.9685 0.947659319060645 0.9355 0.9477
"86" "rrf_mtry64" 0.9879 0.948224586427849 0.9355 0.9482
"105" "knn_k5" 0.9929 0.948368921022501 0.9435 0.9484
"95" "parRF_mtry2" 1.0506 0.949981428859372 0.9435 0.95
"104" "knn_k3" 1.0925 0.950994501926091 0.9677 0.951
"126" "OptimalClass" 1.1326 0.951818378707273 1 0.9518
"38" "lvq_3" 1.1561 0.952241928758302 0.9597 0.9522
"73" "bagFDA_prune16" 1.167 0.952425062631874 0.9435 0.9524
"82" "rrf_mtry4" 1.1948 0.95285896965726 0.9355 0.9529
"71" "bagFDA_prune4" 1.3031 0.954152093222631 0.9435 0.9542
"100" "parRF_mtry64" 1.3031 0.954152093222631 0.9435 0.9542
"83" "rrf_mtry8" 1.3037 0.954157277593277 0.9597 0.9542
"98" "parRF_mtry16" 1.3037 0.954157105755771 0.9516 0.9542
"69" "treeBag" 1.3746 0.954723848554981 0.9677 0.9547
"75" "rf_mtry4" 1.3746 0.954723841350542 0.9597 0.9547
"96" "parRF_mtry4" 1.3746 0.954723841350542 0.9597 0.9547
"78" "rf_mtry32" 1.3762 0.954734437886627 0.9516 0.9547
"79" "rf_mtry64" 1.3762 0.954734437886627 0.9516 0.9547
"80" "rf_mtry128" 1.3762 0.954734437886627 0.9516 0.9547
"101" "parRF_mtry128" 1.3762 0.954734437886627 0.9516 0.9547
"76" "rf_mtry8" 1.3772 0.954741552267057 0.9677 0.9547
"77" "rf_mtry16" 1.3772 0.954741521342192 0.9597 0.9547
"81" "rrf_mtry2" 1.3772 0.954741552267057 0.9677 0.9547
"97" "parRF_mtry8" 1.3772 0.954741552267057 0.9677 0.9547
"99" "parRF_mtry32" 1.3772 0.954741521342192 0.9597 0.9547
