"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"6" "LMT_CV" 0.7541 0.694824650389053 0.6589 0.6948
"5" "LMT" 0.7841 0.69817195829774 0.6589 0.6982
"108" "Ibk_k1" 0.79 0.698820101863241 0.715 0.6988
"60" "gbm_1_50" 0.7963 0.6995182084342 0.7243 0.6995
"102" "knn_k1" 0.7974 0.699635940745916 0.7196 0.6996
"73" "bagFDA_prune16" 0.8368 0.703917273609996 0.7056 0.7039
"7" "LMT_AIC" 0.8373 0.7039745011662 0.6636 0.704
"3" "J48" 0.8513 0.705448437813059 0.6636 0.7054
"4" "J48Unp" 0.8513 0.705448437813059 0.6636 0.7054
"1" "c5.0" 0.8883 0.70916402220465 0.6916 0.7092
"61" "gbm_1_100" 0.9575 0.715084875449537 0.7196 0.7151
"63" "gbm_2_50" 1.1416 0.727676807959093 0.743 0.7277
"62" "gbm_1_150" 1.1747 0.729835903040515 0.743 0.7298
"87" "rrf_mtry128" 1.1773 0.730005746248631 0.7009 0.73
"85" "rrf_mtry32" 1.2281 0.733302044434829 0.7056 0.7333
"84" "rrf_mtry16" 1.2304 0.733452533116227 0.715 0.7335
"68" "gbm_3_150" 1.2647 0.735664029101063 0.7617 0.7357
"67" "gbm_3_100" 1.2787 0.736564723765854 0.7523 0.7366
"86" "rrf_mtry64" 1.2838 0.736891410445889 0.743 0.7369
"83" "rrf_mtry8" 1.3287 0.739769023704634 0.729 0.7398
"64" "gbm_2_100" 1.3382 0.740385614105788 0.7477 0.7404
"66" "gbm_3_50" 1.34 0.740499626019885 0.7757 0.7405
"82" "rrf_mtry4" 1.3888 0.743666515166543 0.729 0.7437
"65" "gbm_2_150" 1.389 0.743679121594385 0.757 0.7437
"69" "treeBag" 1.5456 0.753913326382147 0.715 0.7539
"81" "rrf_mtry2" 1.5572 0.754634938124461 0.743 0.7546
"95" "parRF_mtry2" 1.6805 0.761564240631599 0.785 0.7616
"98" "parRF_mtry16" 1.8265 0.767732529459488 0.715 0.7677
"74" "rf_mtry2" 1.8699 0.769213758819585 0.7804 0.7692
"101" "parRF_mtry128" 1.8796 0.769525169802737 0.7243 0.7695
"100" "parRF_mtry64" 1.9246 0.770910605292801 0.729 0.7709
"97" "parRF_mtry8" 1.9823 0.772529951899602 0.7243 0.7725
"78" "rf_mtry32" 2.0841 0.775039197748779 0.7196 0.775
"75" "rf_mtry4" 2.1307 0.776060960753334 0.7523 0.7761
"96" "parRF_mtry4" 2.2156 0.777746679839803 0.7617 0.7777
"99" "parRF_mtry32" 2.2158 0.777750348266904 0.743 0.7778
"79" "rf_mtry64" 2.243 0.77825106671242 0.7336 0.7783
"76" "rf_mtry8" 2.2716 0.778759958495778 0.729 0.7788
"77" "rf_mtry16" 2.2958 0.779178283698418 0.7336 0.7792
"80" "rf_mtry128" 2.3376 0.779875899977423 0.7336 0.7799
"126" "OptimalClass" 4.1544 0.848305108167586 1 0.8483
