"methods" "abil" "avgProbs" "accuracy"
"1" "pls_ncomp3" -3.44154924474288 0.114842450564938 0
"2" "simpls_ncomp3" -3.44154924474288 0.114842450564938 0
"3" "PessimalClass" -3.44154924474288 0.114842450564938 0
"4" "RandomClass_C" -2.75779686430348 0.223537699656193 0.343333333333333
"5" "RandomClass_B" -2.75771543383374 0.223759044143214 0.333333333333333
"6" "treeBag" -2.74478407552533 0.262381258108577 0.39
"7" "RandomClass_A" -2.74314416301732 0.267576291185198 0.366666666666667
"8" "svmRadialCost_C0.01" -2.33971503545578 0.429111643610857 0.403333333333333
"9" "svmPoly_d_1_s_0.001" -2.33971503545578 0.429111643610857 0.403333333333333
"10" "svmPoly_d_2_s_0.001" -2.33971503545578 0.429111643610857 0.403333333333333
"11" "MajorityClass" -2.33971503545578 0.429111643610857 0.403333333333333
"12" "svmPoly_d_3_s_0.001" -0.769352785556408 0.682855446995918 0.693333333333333
"13" "svmPoly_d_3_s_0.01" -0.370432911344562 0.711058382468069 0.72
"14" "svmLinear_C0.01" -0.370430297419704 0.711058511312425 0.716666666666667
"15" "svmPoly_d_1_s_0.01" -0.370430297419704 0.711058511312425 0.716666666666667
"16" "svmPoly_d_2_s_0.01" -0.370430297419704 0.711058511312425 0.716666666666667
"17" "pls_ncomp1" -0.370430297419704 0.711058511312425 0.716666666666667
"18" "pls_ncomp2" -0.370430297419704 0.711058511312425 0.716666666666667
"19" "simpls_ncomp1" -0.370430297419704 0.711058511312425 0.716666666666667
"20" "simpls_ncomp2" -0.370430297419704 0.711058511312425 0.716666666666667
"21" "mlp_1" -0.0631315318324654 0.787880290963279 0.81
"22" "fda_prune2" -0.0525033046434164 0.788982735740091 0.82
"23" "bagFDA_prune2" -0.0312673681364706 0.794329243641415 0.826666666666667
"24" "sda_L0.0" 0.0238387788706516 0.828364648621644 0.853333333333333
"25" "sda_L0.5" 0.0238387788706516 0.828364648621644 0.853333333333333
"26" "sda_L1.0" 0.0238387788706516 0.828364648621644 0.853333333333333
"27" "SMV" 0.0243596329259081 0.828531274496098 0.856666666666667
"28" "svmLineart_C0.1" 0.0243596329259081 0.828531274496098 0.856666666666667
"29" "svmPoly_d_2_s_0.1" 0.0243596329259081 0.828531274496098 0.856666666666667
"30" "MinorityClass" 0.0272623674944031 0.829384586923492 0.23
"31" "knn_k2" 0.044334967946617 0.832371143531857 0.82
"32" "Ibk_k1" 0.0507742907707162 0.832948352025856 0.82
"33" "mda_subc2" 0.459957546930394 0.852162572094613 0.886666666666667
"34" "svmLinear_C1" 0.629064367515502 0.858344926751416 0.873333333333333
"35" "svmLinear_C2" 0.650225818224428 0.865798191045734 0.88
"36" "svmLinear_C4" 0.650225818224428 0.865798191045734 0.88
"37" "svmLinear_C8" 0.650225818224428 0.865798191045734 0.88
"38" "bagFDA_prune4" 0.66163771405031 0.872000816642866 0.893333333333333
"39" "W_NB" 0.662428318849662 0.872422944302497 0.883333333333333
"40" "NB" 0.662622808432442 0.87252596785931 0.886666666666667
"41" "NB_laplace" 0.662622808432442 0.87252596785931 0.886666666666667
"42" "mlp_7" 0.668416274688107 0.875392193704575 0.893333333333333
"43" "rf_mtry8" 0.680145344494703 0.87956362049866 0.866666666666667
"44" "rf_mtry16" 0.680145344494703 0.87956362049866 0.866666666666667
"45" "rf_mtry128" 0.680304223124085 0.879604656145366 0.87
"46" "rf_mtry64" 0.680410313456315 0.879631849522178 0.873333333333333
"47" "parRF_mtry32" 0.680410313456315 0.879631849522178 0.873333333333333
"48" "Ibk_k2" 0.681448527500968 0.879889333687221 0.866666666666667
"49" "rrf_mtry2" 0.697544523144889 0.882371502888556 0.83
"50" "rrf_mtry4" 0.697544523144889 0.882371502888556 0.83
"51" "rrf_mtry8" 0.697544523144889 0.882371502888556 0.83
"52" "rrf_mtry16" 0.697544523144889 0.882371502888556 0.83
"53" "rrf_mtry32" 0.697544523144889 0.882371502888556 0.83
"54" "rrf_mtry64" 0.697544523144889 0.882371502888556 0.83
"55" "rrf_mtry128" 0.697544523144889 0.882371502888556 0.83
"56" "rf_mtry4" 0.699860496724804 0.882572506311821 0.87
"57" "parRF_mtry16" 0.699860496724804 0.882572506311821 0.87
"58" "knn_k1" 0.701035601274316 0.882665404620149 0.826666666666667
"59" "rf_mtry2" 0.701385405421208 0.882691986342633 0.873333333333333
"60" "rf_mtry32" 0.701385405421208 0.882691986342633 0.873333333333333
"61" "parRF_mtry2" 0.701385405421208 0.882691986342633 0.873333333333333
"62" "parRF_mtry128" 0.701385405421208 0.882691986342633 0.873333333333333
"63" "parRF_mtry8" 0.70138540542131 0.882691986342641 0.876666666666667
"64" "parRF_mtry4" 0.701825590888457 0.882724771097328 0.876666666666667
"65" "parRF_mtry64" 0.701825590888457 0.882724771097328 0.876666666666667
"66" "rbf" 0.721513171520728 0.883711424788999 0.856666666666667
"67" "gbm_3_150" 0.826301800521035 0.88587586063884 0.883333333333333
"68" "knn_k3" 1.03183680393033 0.889654053322945 0.883333333333333
"69" "gbm_1_150" 1.03792396717756 0.889746227986789 0.896666666666667
"70" "mlp_9" 1.04182810121171 0.889794419229599 0.893333333333333
"71" "gcvEarth_d2" 1.04182994852347 0.889794440771222 0.896666666666667
"72" "gcvEarth_d3" 1.04182994852347 0.889794440771222 0.896666666666667
"73" "gbm_3_100" 1.05663372715966 0.889948904462528 0.88
"74" "gbm_3_50" 1.0856710596247 0.890233665528943 0.89
"75" "gbm_2_100" 1.14947655203606 0.892122508126927 0.886666666666667
"76" "gbm_2_150" 1.14947745464227 0.892122528689206 0.886666666666667
"77" "Ibk_k3" 1.20533148362665 0.894958412555597 0.89
"78" "JRip_Unp" 1.2132860789881 0.895068513252202 0.896666666666667
"79" "gcvEarth_d1" 1.21483183557232 0.895085253914286 0.893333333333333
"80" "pcaNNet" 1.22538011081167 0.895181956120235 0.893333333333333
"81" "gbm_2_50" 1.29060745386811 0.895695561793851 0.9
"82" "avNNet_decay1e04" 1.29077426548859 0.895696974238082 0.9
"83" "gbm_1_100" 1.29077426548859 0.895696974238082 0.9
"84" "knn_k5" 1.36145125891438 0.897652666745126 0.896666666666667
"85" "fda_prune9" 1.36268663670494 0.897706438721131 0.903333333333333
"86" "fda_prune17" 1.36268663670494 0.897706438721131 0.903333333333333
"87" "Ibk_k9" 1.4385567940068 0.899246016472123 0.9
"88" "svmRadialCost_C0.1" 1.45065319103167 0.899404322206466 0.903333333333333
"89" "cforest_mtry2" 1.45381264728201 0.899441546529181 0.896666666666667
"90" "cforest_mtry4" 1.45381264728201 0.899441546529181 0.896666666666667
"91" "cforest_mtry8" 1.45381264728201 0.899441546529181 0.896666666666667
"92" "cforest_mtry32" 1.45381264728201 0.899441546529181 0.896666666666667
"93" "cforest_mtry64" 1.45381264728201 0.899441546529181 0.896666666666667
"94" "cforest_mtry128" 1.45381264728201 0.899441546529181 0.896666666666667
"95" "knn_k7" 1.46754445076209 0.899585935071647 0.9
"96" "Ibk_k5" 1.46754445076209 0.899585935071647 0.9
"97" "Ibk_k7" 1.46754445076209 0.899585935071647 0.9
"98" "lvq_3" 1.49239019814449 0.89979172242658 0.903333333333333
"99" "svmRadialCost_C1" 1.49239019814449 0.89979172242658 0.903333333333333
"100" "mda_subc4" 1.49783208448035 0.899829981100359 0.9
"101" "mda_subc3" 1.49783213650886 0.89982998145714 0.903333333333333
"102" "lvq_1" 1.49783213650886 0.89982998145714 0.903333333333333
"103" "knn_k9" 1.49783213650886 0.89982998145714 0.903333333333333
"104" "mlp_3" 1.52202404998188 0.899981309541609 0.9
"105" "mlp_5" 1.52202404998188 0.899981309541609 0.9
