"methods" "abil" "avgProbs" "accuracy"
"1" "MinorityClass" -3.45049827103068 0.258587165372215 0.25
"2" "pls_ncomp3" -2.55092038706857 0.232229276050815 0
"3" "simpls_ncomp3" -2.55092038706857 0.232229276050815 0
"4" "PessimalClass" -2.55092038706857 0.232229276050815 0
"5" "treeBag" -2.18387595897616 0.252914058422142 0.373333333333333
"6" "RandomClass_C" -2.15759617839621 0.255853126522974 0.373333333333333
"7" "RandomClass_A" -2.14418385608388 0.257435922321038 0.316666666666667
"8" "RandomClass_B" -2.07545628174992 0.266402245465333 0.3
"9" "svmRadialCost_C0.01" -1.42204455688522 0.373855218234644 0.4
"10" "svmPoly_d_1_s_0.001" -1.42204455688522 0.373855218234644 0.4
"11" "svmPoly_d_2_s_0.001" -1.42204455688522 0.373855218234644 0.4
"12" "MajorityClass" -1.42204455688522 0.373855218234644 0.4
"13" "svmPoly_d_3_s_0.001" -1.3355710884538 0.387406758379201 0.423333333333333
"14" "knn_k2" -0.737115759179292 0.542276472652077 0.62
"15" "rrf_mtry2" -0.688199681695628 0.552751884258894 0.59
"16" "rrf_mtry4" -0.688199681695628 0.552751884258894 0.59
"17" "rrf_mtry8" -0.688199681695628 0.552751884258894 0.59
"18" "rrf_mtry16" -0.688199681695628 0.552751884258894 0.59
"19" "rrf_mtry32" -0.688199681695628 0.552751884258894 0.59
"20" "rrf_mtry64" -0.688199681695628 0.552751884258894 0.59
"21" "rrf_mtry128" -0.688199681695628 0.552751884258894 0.59
"22" "Ibk_k1" -0.579016291626628 0.574911721939306 0.63
"23" "knn_k1" -0.536542107794328 0.583398286992953 0.626666666666667
"24" "rbf" -0.299734784147477 0.625615949334741 0.67
"25" "Ibk_k2" -0.215723269628342 0.636706819801727 0.68
"26" "svmLinear_C0.01" -0.135257832837081 0.64595778737696 0.623333333333333
"27" "svmPoly_d_1_s_0.01" -0.135257832837081 0.64595778737696 0.623333333333333
"28" "svmPoly_d_2_s_0.01" -0.135257832837081 0.64595778737696 0.623333333333333
"29" "svmPoly_d_3_s_0.01" -0.135257832837081 0.64595778737696 0.623333333333333
"30" "pls_ncomp1" -0.135257832837081 0.64595778737696 0.623333333333333
"31" "pls_ncomp2" -0.135257832837081 0.64595778737696 0.623333333333333
"32" "simpls_ncomp1" -0.135257832837081 0.64595778737696 0.623333333333333
"33" "simpls_ncomp2" -0.135257832837081 0.64595778737696 0.623333333333333
"34" "fda_prune2" -0.123109694529037 0.647284227115327 0.63
"35" "bagFDA_prune2" -0.123109694529037 0.647284227115327 0.63
"36" "SMV" 0.059360967196318 0.666642094936797 0.663333333333333
"37" "svmLineart_C0.1" 0.0773570140966274 0.668582704633801 0.663333333333333
"38" "svmPoly_d_2_s_0.1" 0.0773570140966274 0.668582704633801 0.663333333333333
"39" "mlp_1" 0.0832960187977126 0.669226978003103 0.673333333333333
"40" "sda_L0.0" 0.121973808098717 0.673477517217012 0.666666666666667
"41" "sda_L0.5" 0.126333325298967 0.673963260250554 0.666666666666667
"42" "sda_L1.0" 0.126333325298967 0.673963260250554 0.666666666666667
"43" "svmLinear_C1" 0.299718063997991 0.694912065537476 0.706666666666667
"44" "svmLinear_C2" 0.299718063997991 0.694912065537476 0.706666666666667
"45" "svmLinear_C4" 0.299718063997991 0.694912065537476 0.706666666666667
"46" "svmLinear_C8" 0.299718063997991 0.694912065537476 0.706666666666667
"47" "W_NB" 0.550722647724803 0.72936834715999 0.736666666666667
"48" "NB" 0.550722647724803 0.72936834715999 0.736666666666667
"49" "NB_laplace" 0.550722647724803 0.72936834715999 0.736666666666667
"50" "pcaNNet" 0.55833675638758 0.730317789583001 0.723333333333333
"51" "mda_subc2" 0.581925636965943 0.733168598634522 0.743333333333333
"52" "knn_k3" 0.618171815892734 0.737260281052068 0.726666666666667
"53" "gbm_3_150" 0.629740017251636 0.738488479420718 0.713333333333333
"54" "parRF_mtry64" 0.6744805639867 0.742876954726647 0.716666666666667
"55" "parRF_mtry8" 0.715473588927814 0.746405179781351 0.72
"56" "parRF_mtry128" 0.718716974384442 0.746665168494571 0.716666666666667
"57" "Ibk_k3" 0.725494525813731 0.747199735085325 0.743333333333333
"58" "rf_mtry8" 0.733470432736202 0.747813951682296 0.72
"59" "rf_mtry128" 0.738123162244506 0.748164962118186 0.726666666666667
"60" "rf_mtry2" 0.744630419917278 0.748647035144847 0.723333333333333
"61" "parRF_mtry2" 0.750691398209832 0.749086926572253 0.723333333333333
"62" "parRF_mtry4" 0.753083563068057 0.74925816038071 0.726666666666667
"63" "parRF_mtry32" 0.754561112154124 0.749363257963656 0.726666666666667
"64" "rf_mtry16" 0.754578852692194 0.749364516760516 0.726666666666667
"65" "rf_mtry64" 0.763149650743889 0.749964206646852 0.726666666666667
"66" "gbm_3_100" 0.771641784566044 0.750542050538976 0.736666666666667
"67" "gbm_2_150" 0.77772252081771 0.750946075478731 0.73
"68" "rf_mtry32" 0.779601149373575 0.751069285986393 0.726666666666667
"69" "parRF_mtry16" 0.779666130523609 0.751073534309097 0.733333333333333
"70" "rf_mtry4" 0.788341590502665 0.751632718983402 0.736666666666667
"71" "knn_k5" 0.839067439371354 0.754606499924087 0.76
"72" "OptimalClass" 0.896946703562096 0.757467588297248 1
"73" "gbm_3_50" 0.928025467400631 0.758809835939334 0.753333333333333
"74" "lvq_3" 0.932591889666018 0.758997016028936 0.75
"75" "gbm_2_100" 0.935030329631009 0.759095969623015 0.746666666666667
"76" "lvq_1" 1.18164711522466 0.76648581091244 0.766666666666667
"77" "Ibk_k9" 1.2162624369061 0.767235718122415 0.763333333333333
"78" "ctree_c0.01" 1.24540441642627 0.767830809829885 0.76
"79" "ctree_c0.05" 1.24540441642627 0.767830809829885 0.76
"80" "lvq_5" 1.29745519563797 0.768821180949441 0.763333333333333
"81" "Ibk_k7" 1.35252419078734 0.76978083295976 0.77
"82" "svmPoly_d_1_s_0.1" 1.41672740579813 0.77080163155717 0.766666666666667
"83" "cforest_mtry2" 1.42226967523793 0.770885272181195 0.773333333333333
"84" "cforest_mtry4" 1.42226967523793 0.770885272181195 0.773333333333333
"85" "cforest_mtry8" 1.42226967523793 0.770885272181195 0.773333333333333
"86" "cforest_mtry16" 1.42226967523793 0.770885272181195 0.773333333333333
"87" "cforest_mtry32" 1.42226967523793 0.770885272181195 0.773333333333333
"88" "cforest_mtry64" 1.42226967523793 0.770885272181195 0.773333333333333
"89" "cforest_mtry128" 1.42226967523793 0.770885272181195 0.773333333333333
"90" "knn_k7" 1.43646628824417 0.77109645912406 0.77
"91" "Ibk_k5" 1.47312080342491 0.771622074416787 0.776666666666667
"92" "JRip_Unp" 1.5283622556257 0.772363766683952 0.766666666666667
"93" "mlp_5" 1.5283622556257 0.772363766683952 0.766666666666667
"94" "mlp_7" 1.5283622556257 0.772363766683952 0.766666666666667
"95" "gbm_1_150" 1.53720519190526 0.772477139890955 0.766666666666667
"96" "knn_k9" 1.58215255466808 0.773031604630587 0.77
"97" "mlp_9" 1.58431594712791 0.773057393042836 0.766666666666667
"98" "LMT_AIC" 1.63044412845377 0.773588259392031 0.77
"99" "avNNet_decay0" 1.63682561074685 0.773658895072896 0.773333333333333
"100" "svmPoly_d_3_s_0.1" 1.69651989442876 0.774287780823988 0.766666666666667
"101" "svmRadialCost_C1" 1.69655265006311 0.774288110424918 0.77
"102" "svmRadialCost_C2" 1.69655265006311 0.774288110424918 0.77
"103" "gcvEarth_d2" 1.70282085401591 0.774350877426259 0.766666666666667
"104" "gcvEarth_d3" 1.70282085401591 0.774350877426259 0.766666666666667
"105" "avNNet_decay1e04" 1.81720961284912 0.775393185071007 0.773333333333333
"106" "fda_prune9" 1.89032704765645 0.775963273146998 0.77
"107" "fda_prune17" 1.89032704765645 0.775963273146998 0.77
"108" "gbm_2_50" 1.89059311261477 0.775965219587745 0.77
"109" "mlp_3" 1.95571950190015 0.776415227955524 0.77
"110" "avNNet_decay01" 1.95571950190015 0.776415227955524 0.77
"111" "mda_subc3" 1.95571955752325 0.776415228317993 0.773333333333333
"112" "gbm_1_50" 1.95571955752325 0.776415228317993 0.773333333333333
"113" "bagFDA_prune8" 1.95571955752325 0.776415228317993 0.773333333333333
"114" "c5.0" 2.11280009468411 0.777304268026642 0.773333333333333
"115" "c5.0_winnow" 2.11280009468411 0.777304268026642 0.773333333333333
