"methods" "abil" "avgProbs" "accuracy"
"1" "MinorityClass" -4.73062187807462 0.147159038106395 0.223333333333333
"2" "pls_ncomp3" -3.71265460386893 0.131897024362622 0
"3" "simpls_ncomp3" -3.71265460386893 0.131897024362622 0
"4" "PessimalClass" -3.71265460386893 0.131897024362622 0
"5" "RandomClass_A" -2.75949653444616 0.254063002735506 0.353333333333333
"6" "RandomClass_B" -2.75770414501568 0.256351118297488 0.346666666666667
"7" "treeBag" -2.7469587994346 0.270663067387463 0.39
"8" "RandomClass_C" -2.73574286625932 0.286290483320143 0.366666666666667
"9" "MajorityClass" -2.34915499742919 0.407835796089738 0.39
"10" "svmRadialCost_C0.01" -2.00302861391829 0.447227054023759 0.44
"11" "svmPoly_d_1_s_0.001" -2.00302861391829 0.447227054023759 0.44
"12" "svmPoly_d_2_s_0.001" -2.00032103576653 0.447485727394977 0.443333333333333
"13" "svmPoly_d_3_s_0.001" -0.786231455738833 0.644984142212514 0.67
"14" "svmLinear_C0.01" -0.372362577355596 0.668170088341283 0.693333333333333
"15" "svmPoly_d_1_s_0.01" -0.372362577355596 0.668170088341283 0.693333333333333
"16" "svmPoly_d_2_s_0.01" -0.372362577355596 0.668170088341283 0.693333333333333
"17" "svmPoly_d_3_s_0.01" -0.372362577355596 0.668170088341283 0.693333333333333
"18" "pls_ncomp1" -0.372362577355596 0.668170088341283 0.693333333333333
"19" "pls_ncomp2" -0.372362577355596 0.668170088341283 0.693333333333333
"20" "simpls_ncomp1" -0.372362577355596 0.668170088341283 0.693333333333333
"21" "simpls_ncomp2" -0.372362577355596 0.668170088341283 0.693333333333333
"22" "bagFDA_prune2" -0.0119755088083451 0.705513244772806 0.73
"23" "fda_prune2" -0.00549344224482586 0.712974931133653 0.733333333333333
"24" "SMV" -0.00522267337358853 0.713301130295987 0.75
"25" "mlp_1" -0.00282137049551453 0.716205617039513 0.756666666666667
"26" "svmLineart_C0.1" -0.00232569106948955 0.716804439456881 0.753333333333333
"27" "svmPoly_d_2_s_0.1" -0.00232569106948955 0.716804439456881 0.753333333333333
"28" "sda_L1.0" 0.00366517488029678 0.723781100072902 0.763333333333333
"29" "sda_L0.5" 0.00372250237048024 0.723844143071262 0.763333333333333
"30" "sda_L0.0" 0.00767291379203777 0.72794783146576 0.766666666666667
"31" "knn_k2" 0.0356406773607782 0.742293314136033 0.703333333333333
"32" "Ibk_k2" 0.0367343273588651 0.742461843886458 0.743333333333333
"33" "knn_k1" 0.0438521427060974 0.743297193464285 0.74
"34" "Ibk_k1" 0.0467983292522316 0.743553845963652 0.75
"35" "mda_subc2" 0.638798429042725 0.789558802705385 0.813333333333333
"36" "svmLinear_C1" 0.642873669399645 0.791431821832313 0.803333333333333
"37" "svmLinear_C2" 0.642873669399645 0.791431821832313 0.803333333333333
"38" "svmLinear_C4" 0.650030080299542 0.794984843202281 0.806666666666667
"39" "svmLinear_C8" 0.650030080299542 0.794984843202281 0.806666666666667
"40" "W_NB" 0.666834171268953 0.803291407059228 0.823333333333333
"41" "NB" 0.666834171268953 0.803291407059228 0.823333333333333
"42" "NB_laplace" 0.666834171268953 0.803291407059228 0.823333333333333
"43" "rrf_mtry2" 0.669377421734259 0.804400294365502 0.756666666666667
"44" "rrf_mtry4" 0.669377421734259 0.804400294365502 0.756666666666667
"45" "rrf_mtry8" 0.669377421734259 0.804400294365502 0.756666666666667
"46" "rrf_mtry16" 0.669377421734259 0.804400294365502 0.756666666666667
"47" "rrf_mtry32" 0.669377421734259 0.804400294365502 0.756666666666667
"48" "rrf_mtry64" 0.669377421734259 0.804400294365502 0.756666666666667
"49" "rrf_mtry128" 0.669377421734259 0.804400294365502 0.756666666666667
"50" "OptimalClass" 0.703562823190077 0.812011812364862 1
"51" "rbf" 0.709256247210874 0.812392243520539 0.776666666666667
"52" "Ibk_k3" 0.71194305556667 0.812539650273268 0.796666666666667
"53" "parRF_mtry64" 0.716797518628419 0.81276852236243 0.776666666666667
