"methods" "abil" "avgProbs" "accuracy"
"127" "MinorityClass" -4.88901033615667 0.205310146364077 0.255
"116" "pls_ncomp3" -3.33139697455635 0.18792960280015 0
"119" "simpls_ncomp3" -3.33139697455635 0.18792960280015 0
"129" "PessimalClass" -3.33139697455635 0.18792960280015 0
"69" "treeBag" -2.13310702846409 0.292207439087385 0.335
"124" "RandomClass_B" -2.11729924015932 0.295104551545338 0.36
"123" "RandomClass_A" -2.08158642356274 0.301794019352522 0.36
"125" "RandomClass_C" -2.01281364199174 0.315252356857162 0.355
"41" "svmRadialCost_C0.01" -1.99713996096187 0.318426534461826 0.395
"51" "svmPoly_d_1_s_0.001" -1.99713996096187 0.318426534461826 0.395
"54" "svmPoly_d_2_s_0.001" -1.99713996096187 0.318426534461826 0.395
"57" "svmPoly_d_3_s_0.001" -1.99713996096187 0.318426534461826 0.395
"126" "MajorityClass" -1.99713996096187 0.318426534461826 0.395
"45" "svmLinear_C0.01" -0.762828199450455 0.598054406586338 0.625
"52" "svmPoly_d_1_s_0.01" -0.762828199450455 0.598054406586338 0.625
"55" "svmPoly_d_2_s_0.01" -0.762828199450455 0.598054406586338 0.625
"58" "svmPoly_d_3_s_0.01" -0.762828199450455 0.598054406586338 0.625
"114" "pls_ncomp1" -0.762828199450455 0.598054406586338 0.625
"115" "pls_ncomp2" -0.762828199450455 0.598054406586338 0.625
"117" "simpls_ncomp1" -0.762828199450455 0.598054406586338 0.625
"118" "simpls_ncomp2" -0.762828199450455 0.598054406586338 0.625
"81" "rrf_mtry2" -0.742946529222011 0.603219991528261 0.6
"82" "rrf_mtry4" -0.742946529222011 0.603219991528261 0.6
"83" "rrf_mtry8" -0.742946529222011 0.603219991528261 0.6
"84" "rrf_mtry16" -0.742946529222011 0.603219991528261 0.6
"85" "rrf_mtry32" -0.742946529222011 0.603219991528261 0.6
"86" "rrf_mtry64" -0.742946529222011 0.603219991528261 0.6
"87" "rrf_mtry128" -0.742946529222011 0.603219991528261 0.6
"40" "SMV" -0.720016367119744 0.609221283197927 0.64
"46" "svmLineart_C0.1" -0.713185988463961 0.61101115212362 0.645
"56" "svmPoly_d_2_s_0.1" -0.713185988463961 0.61101115212362 0.645
"18" "fda_prune2" -0.71262576971944 0.611157915604142 0.645
"28" "mlp_1" -0.694033584309712 0.616019150227849 0.65
"70" "bagFDA_prune2" -0.677308420046419 0.620363035949049 0.66
"15" "sda_L0.0" -0.569601003638708 0.646658071718448 0.68
"16" "sda_L0.5" -0.569601003638708 0.646658071718448 0.68
"17" "sda_L1.0" -0.569601003638708 0.646658071718448 0.68
"103" "knn_k2" -0.537264048602871 0.653722701753746 0.62
"108" "Ibk_k1" -0.533785344101926 0.65445620864445 0.615
"102" "knn_k1" -0.492144292397147 0.662836889196561 0.61
"47" "svmLinear_C1" -0.465919797035127 0.667749068663359 0.7
"48" "svmLinear_C2" -0.434615906471359 0.67327427496728 0.71
"49" "svmLinear_C4" -0.434615906471359 0.67327427496728 0.71
"50" "svmLinear_C8" -0.434615906471359 0.67327427496728 0.71
"109" "Ibk_k2" -0.356161252671285 0.685784585365471 0.675
"27" "rbf" -0.257416207910973 0.699622657025198 0.655
"110" "Ibk_k3" -0.199872224624209 0.707061377746886 0.675
"25" "NB" -0.145698331137288 0.71386388729624 0.745
"26" "NB_laplace" -0.145698331137288 0.71386388729624 0.745
"24" "W_NB" -0.127644058141675 0.716118787228655 0.75
"68" "gbm_3_150" -0.112399113175829 0.718020404246287 0.68
"65" "gbm_2_150" -0.100930799191768 0.719446969071505 0.675
"95" "parRF_mtry2" -0.0767997050628376 0.722417739480296 0.685
"75" "rf_mtry4" -0.0702078374126279 0.72321585720425 0.69
"96" "parRF_mtry4" -0.0639445024408018 0.723966111162604 0.7
"101" "parRF_mtry128" -0.0619551100437826 0.724202503104687 0.7
"67" "gbm_3_100" -0.0405269296602993 0.726673860074949 0.71
"104" "knn_k3" -0.0365164084875361 0.727118107348825 0.665
"42" "svmRadialCost_C0.1" -0.0171823544009274 0.729159430593728 0.77
