"methods" "abil" "avgProbs" "accuracy"
"127" "MinorityClass" -4.97745701349248 0.150588888005076 0.22
"116" "pls_ncomp3" -4.17613361761402 0.141910608332274 0
"119" "simpls_ncomp3" -4.17613361761402 0.141910608332274 0
"129" "PessimalClass" -4.17613361761402 0.141910608332274 0
"69" "treeBag" -3.47920698238774 0.239744173917119 0.345
"123" "RandomClass_A" -3.45201683360845 0.246423990002731 0.31
"124" "RandomClass_B" -3.44081900865834 0.249171086813777 0.39
"125" "RandomClass_C" -3.41173101646321 0.256273291960881 0.43
"41" "svmRadialCost_C0.01" -2.24609550509687 0.411254235770784 0.41
"51" "svmPoly_d_1_s_0.001" -2.24609550509687 0.411254235770784 0.41
"54" "svmPoly_d_2_s_0.001" -2.24609550509687 0.411254235770784 0.41
"126" "MajorityClass" -2.24609550509687 0.411254235770784 0.41
"57" "svmPoly_d_3_s_0.001" -2.15792516384613 0.415251457939355 0.415
"45" "svmLinear_C0.01" -0.460171882371293 0.694859496567946 0.72
"52" "svmPoly_d_1_s_0.01" -0.460171882371293 0.694859496567946 0.72
"55" "svmPoly_d_2_s_0.01" -0.460171882371293 0.694859496567946 0.72
"58" "svmPoly_d_3_s_0.01" -0.460171882371293 0.694859496567946 0.72
"114" "pls_ncomp1" -0.460171882371293 0.694859496567946 0.72
"115" "pls_ncomp2" -0.460171882371293 0.694859496567946 0.72
"117" "simpls_ncomp1" -0.460171882371293 0.694859496567946 0.72
"118" "simpls_ncomp2" -0.460171882371293 0.694859496567946 0.72
"28" "mlp_1" -0.110089989171852 0.729017668770773 0.75
"40" "SMV" -0.0654064983299665 0.737853209104338 0.755
"18" "fda_prune2" -0.0565686274250154 0.739971545908801 0.77
"46" "svmLineart_C0.1" -0.038586888733015 0.744583167855136 0.765
"56" "svmPoly_d_2_s_0.1" -0.038586888733015 0.744583167855136 0.765
"70" "bagFDA_prune2" -0.0323372286867158 0.746260398877483 0.78
"15" "sda_L0.0" 0.0985055046045056 0.777968797609629 0.8
"16" "sda_L0.5" 0.0985055046045056 0.777968797609629 0.8
"17" "sda_L1.0" 0.152387556526474 0.78573711218586 0.81
"48" "svmLinear_C2" 0.336948406155455 0.800233766254672 0.82
"47" "svmLinear_C1" 0.507157934352243 0.823316768549193 0.835
"50" "svmLinear_C8" 0.513754459831727 0.82448424833367 0.835
"49" "svmLinear_C4" 0.549721492700149 0.831618622379029 0.84
"53" "svmPoly_d_1_s_0.1" 0.557154189174105 0.833202454998466 0.84
"109" "Ibk_k2" 0.592828544621707 0.840817783678255 0.79
"103" "knn_k2" 0.616850216525075 0.845609896259588 0.765
"21" "mda_subc2" 0.639776037697894 0.849721738182277 0.85
"88" "cforest_mtry2" 0.645901234213689 0.850733602300353 0.86
"89" "cforest_mtry4" 0.645901234213689 0.850733602300353 0.86
"90" "cforest_mtry8" 0.645901234213689 0.850733602300353 0.86
"91" "cforest_mtry16" 0.645901234213689 0.850733602300353 0.86
"92" "cforest_mtry32" 0.645901234213689 0.850733602300353 0.86
"94" "cforest_mtry128" 0.645901234213689 0.850733602300353 0.86
"108" "Ibk_k1" 0.653024370682113 0.851863059212588 0.795
"102" "knn_k1" 0.658221898346458 0.852655156438023 0.78
"81" "rrf_mtry2" 0.661373309041904 0.853122352138861 0.795
"82" "rrf_mtry4" 0.661373309041904 0.853122352138861 0.795
"83" "rrf_mtry8" 0.661373309041904 0.853122352138861 0.795
"84" "rrf_mtry16" 0.661373309041904 0.853122352138861 0.795
"85" "rrf_mtry32" 0.661373309041904 0.853122352138861 0.795
