"methods" "abil" "avgProbs" "accuracy"
"127" "MinorityClass" -3.33974376054491 0.150712899529066 0.22
"116" "pls_ncomp3" -2.76596344042556 0.138005435288845 0
"119" "simpls_ncomp3" -2.76596344042556 0.138005435288845 0
"129" "PessimalClass" -2.76596344042556 0.138005435288845 0
"69" "treeBag" -2.06013973526264 0.234521525342411 0.395
"123" "RandomClass_A" -2.05283722612564 0.245915629968702 0.35
"125" "RandomClass_C" -2.04248532546062 0.262484674512175 0.27
"124" "RandomClass_B" -2.04166057766929 0.263802481867818 0.345
"41" "svmRadialCost_C0.01" -1.60426009131639 0.411201960482994 0.4
"51" "svmPoly_d_1_s_0.001" -1.60426009131639 0.411201960482994 0.4
"54" "svmPoly_d_2_s_0.001" -1.60426009131639 0.411201960482994 0.4
"126" "MajorityClass" -1.60426009131639 0.411201960482994 0.4
"57" "svmPoly_d_3_s_0.001" -1.23135382716899 0.447854869126406 0.425
"45" "svmLinear_C0.01" -0.392169746619332 0.682071885119785 0.71
"52" "svmPoly_d_1_s_0.01" -0.392169746619332 0.682071885119785 0.71
"55" "svmPoly_d_2_s_0.01" -0.392169746619332 0.682071885119785 0.71
"58" "svmPoly_d_3_s_0.01" -0.392169746619332 0.682071885119785 0.71
"114" "pls_ncomp1" -0.392169746619332 0.682071885119785 0.71
"115" "pls_ncomp2" -0.392169746619332 0.682071885119785 0.71
"117" "simpls_ncomp1" -0.392169746619332 0.682071885119785 0.71
"118" "simpls_ncomp2" -0.392169746619332 0.682071885119785 0.71
"28" "mlp_1" -0.0185181992648079 0.726792257276917 0.745
"18" "fda_prune2" -0.0123042503837905 0.733013002437686 0.765
"70" "bagFDA_prune2" -0.00974229061580318 0.73566749182704 0.77
"40" "SMV" -0.00598697965180396 0.739501185621622 0.755
"46" "svmLineart_C0.1" 0.000234230568293418 0.745494472857609 0.765
"56" "svmPoly_d_2_s_0.1" 0.000234230568293418 0.745494472857609 0.765
"15" "sda_L0.0" 0.00618940841711939 0.750713743911295 0.79
"16" "sda_L0.5" 0.00618940841711939 0.750713743911295 0.79
"109" "Ibk_k2" 0.0132800421642031 0.755923991935337 0.75
"17" "sda_L1.0" 0.014417826962339 0.756610284438238 0.795
"47" "svmLinear_C1" 0.11287165106236 0.768746760152731 0.815
"102" "knn_k1" 0.141111031645827 0.774702839461078 0.765
"108" "Ibk_k1" 0.142505462012781 0.774827478240567 0.77
"49" "svmLinear_C4" 0.637733908313014 0.811646155501342 0.815
"50" "svmLinear_C8" 0.637733908313014 0.811646155501342 0.815
"48" "svmLinear_C2" 0.645677443889479 0.815643413155198 0.82
"42" "svmRadialCost_C0.1" 0.651423346454662 0.819294118965781 0.82
"53" "svmPoly_d_1_s_0.1" 0.65227422661092 0.819886042735281 0.825
"65" "gbm_2_150" 0.671963525070976 0.833853230258637 0.815
"24" "W_NB" 0.672089378629804 0.833924044744072 0.835
"25" "NB" 0.672089378629804 0.833924044744072 0.835
"26" "NB_laplace" 0.672089378629804 0.833924044744072 0.835
"68" "gbm_3_150" 0.672448967360269 0.834124245848757 0.825
"67" "gbm_3_100" 0.67268290409621 0.834252796894685 0.84
"21" "mda_subc2" 0.67289111638405 0.834366090836757 0.85
"110" "Ibk_k3" 0.680225344630313 0.837723777461002 0.83
"59" "svmPoly_d_3_s_0.1" 0.682618266413821 0.838588781590946 0.855
"90" "cforest_mtry8" 0.683024746178046 0.838726589136163 0.85
"81" "rrf_mtry2" 0.684339966728848 0.839156054721157 0.79
"82" "rrf_mtry4" 0.684339966728848 0.839156054721157 0.79
"83" "rrf_mtry8" 0.684339966728848 0.839156054721157 0.79
"84" "rrf_mtry16" 0.684339966728848 0.839156054721157 0.79
"85" "rrf_mtry32" 0.684339966728848 0.839156054721157 0.79
"86" "rrf_mtry64" 0.684339966728848 0.839156054721157 0.79
"87" "rrf_mtry128" 0.684339966728848 0.839156054721157 0.79
"27" "rbf" 0.684735157192673 0.839280446412905 0.795
"36" "pcaNNet" 0.686209041599882 0.839726868129506 0.83
"101" "parRF_mtry128" 0.686908780514691 0.839929743896711 0.82
"79" "rf_mtry64" 0.687351291395098 0.840055216146667 0.83
"77" "rf_mtry16" 0.687488730055148 0.840093754268494 0.83
"96" "parRF_mtry4" 0.687488730055148 0.840093754268494 0.83
"97" "parRF_mtry8" 0.687488730055148 0.840093754268494 0.83
"99" "parRF_mtry32" 0.687488730055148 0.840093754268494 0.83
"100" "parRF_mtry64" 0.687488730055148 0.840093754268494 0.83
"62" "gbm_1_150" 0.687576266871551 0.840118194704588 0.85
"95" "parRF_mtry2" 0.687616325292268 0.84012935197975 0.835
"74" "rf_mtry2" 0.687662527207688 0.840142199320611 0.835
"75" "rf_mtry4" 0.687765345680122 0.840170709413696 0.835
"76" "rf_mtry8" 0.687765345680122 0.840170709413696 0.835
"78" "rf_mtry32" 0.687765345680122 0.840170709413696 0.835
"80" "rf_mtry128" 0.687765345680122 0.840170709413696 0.835
"98" "parRF_mtry16" 0.687765345680122 0.840170709413696 0.835
"103" "knn_k2" 0.713650535310312 0.844774263871895 0.795
"128" "OptimalClass" 0.71893426722241 0.845235116066719 1
"104" "knn_k3" 0.719447109272529 0.845274275706655 0.83
"13" "JRip_Unp" 0.755981292532871 0.846957382197557 0.845
"14" "PART" 0.756729559348698 0.846982607514236 0.84
"111" "Ibk_k5" 0.794522117772025 0.848163211780897 0.85
"34" "avNNet_decay01" 0.810799627728125 0.848637565190716 0.86
"23" "mda_subc4" 0.834909760855143 0.84931196216062 0.85
"38" "lvq_3" 0.844385890737944 0.849568312619665 0.855
"113" "Ibk_k9" 0.886579106073238 0.850653367756502 0.86
"64" "gbm_2_100" 0.925333099008874 0.851573564735428 0.845
"5" "LMT" 0.967402769014392 0.852496145653984 0.85
"7" "LMT_AIC" 0.967402769014392 0.852496145653984 0.85
"89" "cforest_mtry4" 0.984632832654362 0.852852550621371 0.855
"91" "cforest_mtry16" 0.984632832654362 0.852852550621371 0.855
"61" "gbm_1_100" 1.00074436375185 0.853175128768219 0.865
"19" "fda_prune9" 1.02739676536357 0.853687029864612 0.85
"20" "fda_prune17" 1.02739676536357 0.853687029864612 0.85
"71" "bagFDA_prune4" 1.04942903191456 0.854090699285109 0.86
"120" "gcvEarth_d1" 1.31474601022143 0.857876805458289 0.865
"105" "knn_k5" 1.37979743869989 0.860483838580561 0.86
"35" "avNNet_decay0" 1.38207098998213 0.860519930769364 0.855
"37" "lvq_1" 1.38330240643904 0.86053810876824 0.86
"121" "gcvEarth_d2" 1.38341006984873 0.860539657911735 0.86
"122" "gcvEarth_d3" 1.38341006984873 0.860539657911735 0.86
"66" "gbm_3_50" 1.38848448206896 0.860606811391 0.86
"63" "gbm_2_50" 1.39858395285287 0.860719867074674 0.865
"29" "mlp_3" 1.55819975563637 0.862096786932346 0.865
"30" "mlp_5" 1.55819975563637 0.862096786932346 0.865
"31" "mlp_7" 1.55819975563637 0.862096786932346 0.865
"32" "mlp_9" 1.55819975563637 0.862096786932346 0.865
"39" "lvq_5" 1.55819975563637 0.862096786932346 0.865
"33" "avNNet_decay1e04" 1.5582001953742 0.862096790280487 0.86
"1" "c5.0" 1.57400740096859 0.86221580395263 0.86
"2" "c5.0_winnow" 1.57400740096859 0.86221580395263 0.86
"3" "J48" 1.57400740096859 0.86221580395263 0.86
"4" "J48Unp" 1.57400740096859 0.86221580395263 0.86
"9" "ctree_c0.01" 1.57400740096859 0.86221580395263 0.86
"10" "ctree_c0.05" 1.57400740096859 0.86221580395263 0.86
"11" "ctree_c0.99" 1.57400740096859 0.86221580395263 0.86
"12" "JRip" 1.57400740096859 0.86221580395263 0.86
"88" "cforest_mtry2" 1.57400740096859 0.86221580395263 0.86
"92" "cforest_mtry32" 1.57400740096859 0.86221580395263 0.86
"93" "cforest_mtry64" 1.57400740096859 0.86221580395263 0.86
"94" "cforest_mtry128" 1.57400740096859 0.86221580395263 0.86
"6" "LMT_CV" 1.70668165430161 0.8631188731647 0.865
"8" "rpart" 1.70668585091396 0.863118899275192 0.87
"22" "mda_subc3" 1.70668585091396 0.863118899275192 0.87
"43" "svmRadialCost_C1" 1.70668585091396 0.863118899275192 0.87
"44" "svmRadialCost_C2" 1.70668585091396 0.863118899275192 0.87
"60" "gbm_1_50" 1.70668585091396 0.863118899275192 0.87
"72" "bagFDA_prune8" 1.70668585091396 0.863118899275192 0.87
"73" "bagFDA_prune16" 1.70668585091396 0.863118899275192 0.87
"106" "knn_k7" 1.70668585091396 0.863118899275192 0.87
"107" "knn_k9" 1.70668585091396 0.863118899275192 0.87
"112" "Ibk_k7" 1.70668585091396 0.863118899275192 0.87
