"methods" "abil" "avgProbs" "accuracy"
"125" "RandomClass_C" -21.3457930394258 0.0970293110654514 0.34
"116" "pls_ncomp3" -3.17958448464309 0.0992629501660066 0
"119" "simpls_ncomp3" -3.17958448464309 0.0992629501660066 0
"129" "PessimalClass" -3.17958448464309 0.0992629501660066 0
"69" "treeBag" -2.75846470545509 0.212032511236059 0.365
"124" "RandomClass_B" -2.75705660913594 0.215801748084228 0.36
"123" "RandomClass_A" -2.74543679708356 0.248554877443648 0.345
"41" "svmRadialCost_C0.01" -2.18733773739438 0.443960354841536 0.4
"51" "svmPoly_d_1_s_0.001" -2.18733773739438 0.443960354841536 0.4
"54" "svmPoly_d_2_s_0.001" -2.18733773739438 0.443960354841536 0.4
"126" "MajorityClass" -2.18733773739438 0.443960354841536 0.4
"57" "svmPoly_d_3_s_0.001" -1.4618855844699 0.563377245434111 0.525
"45" "svmLinear_C0.01" -0.689051658996508 0.755694925162681 0.76
"52" "svmPoly_d_1_s_0.01" -0.689051658996508 0.755694925162681 0.76
"55" "svmPoly_d_2_s_0.01" -0.689051658996508 0.755694925162681 0.76
"58" "svmPoly_d_3_s_0.01" -0.689051658996508 0.755694925162681 0.76
"114" "pls_ncomp1" -0.689051658996508 0.755694925162681 0.76
"115" "pls_ncomp2" -0.689051658996508 0.755694925162681 0.76
"117" "simpls_ncomp1" -0.689051658996508 0.755694925162681 0.76
"118" "simpls_ncomp2" -0.689051658996508 0.755694925162681 0.76
"28" "mlp_1" -0.361227824412081 0.801274715350216 0.805
"18" "fda_prune2" -0.033580120283695 0.850750425283945 0.87
"70" "bagFDA_prune2" -0.033580120283695 0.850750425283945 0.87
"40" "SMV" -0.00107392358752228 0.864349692064965 0.875
"46" "svmLineart_C0.1" -0.00107392358752228 0.864349692064965 0.875
"56" "svmPoly_d_2_s_0.1" -0.00107392358752228 0.864349692064965 0.875
"15" "sda_L0.0" 0.00313054509794453 0.869002258451993 0.89
"16" "sda_L0.5" 0.00313054509794453 0.869002258451993 0.89
"17" "sda_L1.0" 0.00313054509794453 0.869002258451993 0.89
"47" "svmLinear_C1" 0.338509250840605 0.905386249031184 0.92
"13" "JRip_Unp" 0.475263887748126 0.908237652949245 0.925
"48" "svmLinear_C2" 0.571295434788342 0.910089054901701 0.935
"49" "svmLinear_C4" 0.571295434788342 0.910089054901701 0.935
"50" "svmLinear_C8" 0.571295434788342 0.910089054901701 0.935
"1" "c5.0" 0.571323748791209 0.910089673229907 0.935
"2" "c5.0_winnow" 0.571323748791209 0.910089673229907 0.935
"3" "J48" 0.571323748791209 0.910089673229907 0.935
"4" "J48Unp" 0.571323748791209 0.910089673229907 0.935
"7" "LMT_AIC" 0.571323748791209 0.910089673229907 0.935
"9" "ctree_c0.01" 0.571323748791209 0.910089673229907 0.935
"10" "ctree_c0.05" 0.571323748791209 0.910089673229907 0.935
"11" "ctree_c0.99" 0.571323748791209 0.910089673229907 0.935
"12" "JRip" 0.571323748791209 0.910089673229907 0.935
"14" "PART" 0.571323748791209 0.910089673229907 0.935
"88" "cforest_mtry2" 0.571323748791209 0.910089673229907 0.935
"89" "cforest_mtry4" 0.571323748791209 0.910089673229907 0.935
"90" "cforest_mtry8" 0.571323748791209 0.910089673229907 0.935
"91" "cforest_mtry16" 0.571323748791209 0.910089673229907 0.935
"92" "cforest_mtry32" 0.571323748791209 0.910089673229907 0.935
"93" "cforest_mtry64" 0.571323748791209 0.910089673229907 0.935
"94" "cforest_mtry128" 0.571323748791209 0.910089673229907 0.935
"5" "LMT" 0.571323748791803 0.91008967322992 0.94
"6" "LMT_CV" 0.571323748791803 0.91008967322992 0.94
"53" "svmPoly_d_1_s_0.1" 0.659291727667987 0.919968181248976 0.93
"21" "mda_subc2" 0.674196934020245 0.934738358207719 0.93
