"methods" "abil" "avgProbs" "accuracy"
"127" "MinorityClass" -3.96997901967484 0.229132380568928 0.255
"116" "pls_ncomp3" -3.24578973612782 0.186031955045618 0
"119" "simpls_ncomp3" -3.24578973612782 0.186031955045618 0
"129" "PessimalClass" -3.24578973612782 0.186031955045618 0
"69" "treeBag" -2.98104061631348 0.192558957765675 0.325
"124" "RandomClass_B" -2.76387510721188 0.240943755429121 0.355
"125" "RandomClass_C" -2.74935758572604 0.253349626332804 0.335
"123" "RandomClass_A" -2.73816054365488 0.263411204922721 0.32
"41" "svmRadialCost_C0.01" -2.09927959070918 0.381993789700793 0.39
"51" "svmPoly_d_1_s_0.001" -2.09927959070918 0.381993789700793 0.39
"54" "svmPoly_d_2_s_0.001" -2.09927959070918 0.381993789700793 0.39
"57" "svmPoly_d_3_s_0.001" -2.09927959070918 0.381993789700793 0.39
"126" "MajorityClass" -2.09927959070918 0.381993789700793 0.39
"45" "svmLinear_C0.01" -0.696498774481703 0.626364896777899 0.665
"52" "svmPoly_d_1_s_0.01" -0.696498774481703 0.626364896777899 0.665
"114" "pls_ncomp1" -0.696498774481703 0.626364896777899 0.665
"115" "pls_ncomp2" -0.696498774481703 0.626364896777899 0.665
"117" "simpls_ncomp1" -0.696498774481703 0.626364896777899 0.665
"118" "simpls_ncomp2" -0.696498774481703 0.626364896777899 0.665
"55" "svmPoly_d_2_s_0.01" -0.696464476170046 0.626405274905595 0.66
"58" "svmPoly_d_3_s_0.01" -0.696464476170046 0.626405274905595 0.66
"70" "bagFDA_prune2" -0.685189581622551 0.644920816179065 0.685
"18" "fda_prune2" -0.673687252072262 0.671865851214055 0.7
"40" "SMV" -0.671712493107497 0.676133673340971 0.72
"109" "Ibk_k2" -0.670376641597747 0.678813530630665 0.65
"46" "svmLineart_C0.1" -0.668856645278923 0.681633778070392 0.72
"56" "svmPoly_d_2_s_0.1" -0.668856645278923 0.681633778070392 0.72
"81" "rrf_mtry2" -0.668702007727937 0.681906451714449 0.645
"82" "rrf_mtry4" -0.668702007727937 0.681906451714449 0.645
"83" "rrf_mtry8" -0.668702007727937 0.681906451714449 0.645
"84" "rrf_mtry16" -0.668702007727937 0.681906451714449 0.645
"85" "rrf_mtry32" -0.668702007727937 0.681906451714449 0.645
"86" "rrf_mtry64" -0.668702007727937 0.681906451714449 0.645
"87" "rrf_mtry128" -0.668702007727937 0.681906451714449 0.645
"28" "mlp_1" -0.667973713769746 0.683154664852367 0.72
"103" "knn_k2" -0.667661508723741 0.683671501687739 0.675
"108" "Ibk_k1" -0.664107122984492 0.688795474784754 0.625
"102" "knn_k1" -0.663636370531628 0.689373428816618 0.66
"15" "sda_L0.0" -0.271990966507804 0.739522255431606 0.74
"16" "sda_L0.5" -0.271990966507804 0.739522255431606 0.74
"17" "sda_L1.0" -0.271990966507804 0.739522255431606 0.74
"47" "svmLinear_C1" -0.238647528251246 0.741332688570464 0.75
"48" "svmLinear_C2" -0.119913528659234 0.74750501727933 0.76
"50" "svmLinear_C8" -0.0210908057561458 0.754329125782625 0.77
"68" "gbm_3_150" -0.00840421925910202 0.756960037652595 0.765
"36" "pcaNNet" 0.00553661161732326 0.759482549255432 0.73
"27" "rbf" 0.0115937150759498 0.760211395648699 0.725
"128" "OptimalClass" 0.0208215268330651 0.761015667050825 1
"95" "parRF_mtry2" 0.0897918597273737 0.764134231381808 0.755
"74" "rf_mtry2" 0.100319566571996 0.764533114257425 0.755
"75" "rf_mtry4" 0.100319566571996 0.764533114257425 0.755
"79" "rf_mtry64" 0.100319566571996 0.764533114257425 0.755
"98" "parRF_mtry16" 0.100319566571996 0.764533114257425 0.755
"77" "rf_mtry16" 0.100319566593476 0.764533114258239 0.76
"76" "rf_mtry8" 0.104490814885489 0.764691275578595 0.76
"96" "parRF_mtry4" 0.116098818514465 0.76513420179227 0.76
"97" "parRF_mtry8" 0.119315908602062 0.765258165451817 0.76
"100" "parRF_mtry64" 0.123335483842226 0.765414098974835 0.76
"80" "rf_mtry128" 0.134171429803323 0.765842036491322 0.76
"78" "rf_mtry32" 0.134171429803348 0.765842036491323 0.765
"101" "parRF_mtry128" 0.134171429803348 0.765842036491323 0.765
"99" "parRF_mtry32" 0.147323312958948 0.766382037444237 0.77
"67" "gbm_3_100" 0.181265353217887 0.768057848569506 0.785
"104" "knn_k3" 0.264281389484445 0.776503164786869 0.755
"110" "Ibk_k3" 0.271200425910964 0.777007064252849 0.77
