"methods" "abil" "avgProbs" "accuracy"
"127" "MinorityClass" -2.44180564207604 0.312108128702617 0.29
"125" "RandomClass_C" -2.05827643347917 0.279778598572296 0.36
"124" "RandomClass_B" -2.0571869858555 0.278962677797107 0.355
"123" "RandomClass_A" -2.04835707199621 0.274972743870362 0.385
"116" "pls_ncomp3" -2.04728608161303 0.274837374308092 0
"119" "simpls_ncomp3" -2.04728608161303 0.274837374308092 0
"129" "PessimalClass" -2.04728608161303 0.274837374308092 0
"41" "svmRadialCost_C0.01" -1.40994760402555 0.363088189259693 0.375
"51" "svmPoly_d_1_s_0.001" -1.40994760402555 0.363088189259693 0.375
"54" "svmPoly_d_2_s_0.001" -1.40994760402555 0.363088189259693 0.375
"57" "svmPoly_d_3_s_0.001" -1.40994760402555 0.363088189259693 0.375
"126" "MajorityClass" -1.40994760402555 0.363088189259693 0.375
"69" "treeBag" -1.24995108878266 0.37527595623991 0.32
"103" "knn_k2" -0.74703072212069 0.476177448760974 0.57
"81" "rrf_mtry2" -0.686403477842378 0.491346855411667 0.575
"82" "rrf_mtry4" -0.686403477842378 0.491346855411667 0.575
"83" "rrf_mtry8" -0.686403477842378 0.491346855411667 0.575
"84" "rrf_mtry16" -0.686403477842378 0.491346855411667 0.575
"85" "rrf_mtry32" -0.686403477842378 0.491346855411667 0.575
"86" "rrf_mtry64" -0.686403477842378 0.491346855411667 0.575
"87" "rrf_mtry128" -0.686403477842378 0.491346855411667 0.575
"108" "Ibk_k1" -0.638183989243989 0.530723992265337 0.515
"102" "knn_k1" -0.6365357823348 0.530977220218843 0.52
"95" "parRF_mtry2" -0.0129730446592392 0.604509098073513 0.615
"75" "rf_mtry4" -0.0129130868273585 0.604539945630848 0.625
"97" "parRF_mtry8" -0.012884719579778 0.60455455295278 0.61
"100" "parRF_mtry64" -0.0128608174434795 0.604566867373592 0.63
"74" "rf_mtry2" -0.0128095765672654 0.604593286321882 0.63
"76" "rf_mtry8" -0.0127959759266483 0.604600303069153 0.615
"96" "parRF_mtry4" -0.0127189629416569 0.604640070559995 0.64
"99" "parRF_mtry32" -0.0126350430649705 0.604683473363147 0.63
"27" "rbf" -0.0105080338413397 0.605809197477116 0.585
"78" "rf_mtry32" -0.00939902594199262 0.606419655130533 0.625
"79" "rf_mtry64" -0.00919622013688217 0.606533489022658 0.63
"77" "rf_mtry16" -0.00887748517405285 0.606713945804362 0.635
"101" "parRF_mtry128" -0.00699490649083741 0.607826291181644 0.63
"80" "rf_mtry128" -0.00330487280994455 0.61035176690198 0.65
"98" "parRF_mtry16" -0.00194458258991905 0.611450081260283 0.645
"109" "Ibk_k2" 0.000383411896014871 0.613609829501875 0.565
"68" "gbm_3_150" 0.00485151424873882 0.618659698297889 0.65
"115" "pls_ncomp2" 0.00497692842164594 0.618807291087125 0.585
"118" "simpls_ncomp2" 0.00497692842164594 0.618807291087125 0.585
"45" "svmLinear_C0.01" 0.00499972515759866 0.618834080472904 0.595
"52" "svmPoly_d_1_s_0.01" 0.00499972515759866 0.618834080472904 0.595
"55" "svmPoly_d_2_s_0.01" 0.00499972515759866 0.618834080472904 0.595
"114" "pls_ncomp1" 0.00499972515759866 0.618834080472904 0.595
"117" "simpls_ncomp1" 0.00499972515759866 0.618834080472904 0.595
"58" "svmPoly_d_3_s_0.01" 0.00507590568367055 0.618923508795168 0.595
"28" "mlp_1" 0.00518185072565432 0.619047617366549 0.615
"18" "fda_prune2" 0.00531861000368492 0.619207327148744 0.635
"40" "SMV" 0.00536261884557803 0.619258592425746 0.625
"46" "svmLineart_C0.1" 0.00538162695415439 0.619280714240123 0.63
"56" "svmPoly_d_2_s_0.1" 0.00538162695415439 0.619280714240123 0.63
"110" "Ibk_k3" 0.00668245748862152 0.620756327319711 0.655
