"methods" "abil" "avgProbs" "accuracy"
"127" "MinorityClass" -3.66626471802161 0.302702136964569 0.255
"116" "pls_ncomp3" -2.80677669920525 0.264141172593854 0
"119" "simpls_ncomp3" -2.80677669920525 0.264141172593854 0
"129" "PessimalClass" -2.80677669920525 0.264141172593854 0
"124" "RandomClass_B" -2.62664625119765 0.272943525701406 0.365
"123" "RandomClass_A" -2.61108297946874 0.274157865091769 0.32
"125" "RandomClass_C" -2.26096642086039 0.316462987461849 0.39
"69" "treeBag" -2.21006126297871 0.323721983856871 0.38
"41" "svmRadialCost_C0.01" -1.9176793867208 0.362812047354614 0.4
"51" "svmPoly_d_1_s_0.001" -1.9176793867208 0.362812047354614 0.4
"54" "svmPoly_d_2_s_0.001" -1.9176793867208 0.362812047354614 0.4
"57" "svmPoly_d_3_s_0.001" -1.9176793867208 0.362812047354614 0.4
"126" "MajorityClass" -1.9176793867208 0.362812047354614 0.4
"70" "bagFDA_prune2" -1.83007284340564 0.373990367109425 0.315
"81" "rrf_mtry2" -0.786977422408314 0.496960703322634 0.55
"82" "rrf_mtry4" -0.786977422408314 0.496960703322634 0.55
"83" "rrf_mtry8" -0.786977422408314 0.496960703322634 0.55
"84" "rrf_mtry16" -0.786977422408314 0.496960703322634 0.55
"85" "rrf_mtry32" -0.786977422408314 0.496960703322634 0.55
"86" "rrf_mtry64" -0.782810564323939 0.497422969669201 0.55
"87" "rrf_mtry128" -0.772555646567715 0.498577655479377 0.555
"108" "Ibk_k1" -0.675563905840886 0.510773209512336 0.565
"103" "knn_k2" -0.614799416668163 0.519288530701863 0.575
"102" "knn_k1" -0.614371788531072 0.519349021076313 0.585
"27" "rbf" -0.584316154997653 0.523572318675395 0.59
"109" "Ibk_k2" -0.489639596498966 0.535918531198795 0.58
"128" "OptimalClass" -0.370872874564907 0.548153896367537 1
"67" "gbm_3_100" -0.229279697417915 0.557552623406157 0.61
"36" "pcaNNet" -0.17220312922168 0.560216608237748 0.62
"104" "knn_k3" -0.14902155790582 0.561186853320997 0.595
"68" "gbm_3_150" -0.139937183165456 0.561553045563713 0.615
"18" "fda_prune2" 0.112970864970215 0.570763275222625 0.57
"40" "SMV" 0.112970864970215 0.570763275222625 0.57
"46" "svmLineart_C0.1" 0.112970864970215 0.570763275222625 0.57
"47" "svmLinear_C1" 0.112970864970215 0.570763275222625 0.57
"48" "svmLinear_C2" 0.112970864970215 0.570763275222625 0.57
"49" "svmLinear_C4" 0.112970864970215 0.570763275222625 0.57
"50" "svmLinear_C8" 0.112970864970215 0.570763275222625 0.57
"55" "svmPoly_d_2_s_0.01" 0.112970864970215 0.570763275222625 0.57
"56" "svmPoly_d_2_s_0.1" 0.112970864970215 0.570763275222625 0.57
"58" "svmPoly_d_3_s_0.01" 0.112970864970215 0.570763275222625 0.57
"114" "pls_ncomp1" 0.112970864970215 0.570763275222625 0.57
"115" "pls_ncomp2" 0.112970864970215 0.570763275222625 0.57
"117" "simpls_ncomp1" 0.112970864970215 0.570763275222625 0.57
"118" "simpls_ncomp2" 0.112970864970215 0.570763275222625 0.57
"45" "svmLinear_C0.01" 0.113957611433903 0.57080706149277 0.545
"52" "svmPoly_d_1_s_0.01" 0.113957611433903 0.57080706149277 0.545
"28" "mlp_1" 0.124045262390524 0.571268676458106 0.565
"17" "sda_L1.0" 0.157053508974712 0.57300656336397 0.575
"16" "sda_L0.5" 0.166299240598443 0.573574455680237 0.58
"15" "sda_L0.0" 0.176255557638975 0.574236168462597 0.585
"53" "svmPoly_d_1_s_0.1" 0.233585334582809 0.579398526013283 0.58
"42" "svmRadialCost_C0.1" 0.301062294111188 0.589015802730728 0.59
"24" "W_NB" 0.486698883161439 0.615719405014498 0.62
"25" "NB" 0.486698883161439 0.615719405014498 0.62
"26" "NB_laplace" 0.486698883161439 0.615719405014498 0.62
"65" "gbm_2_150" 0.591320375839609 0.627757486325288 0.635
"110" "Ibk_k3" 0.632239904447591 0.632062882099357 0.625
"64" "gbm_2_100" 0.64112200717348 0.632956750762148 0.63
"9" "ctree_c0.01" 0.644097920377915 0.633252901099087 0.61
"10" "ctree_c0.05" 0.644097920377915 0.633252901099087 0.61
"99" "parRF_mtry32" 0.659199333549654 0.634730067284643 0.62
"77" "rf_mtry16" 0.670584110593424 0.635815835359291 0.625
"101" "parRF_mtry128" 0.672525522164306 0.635998658654909 0.63
"74" "rf_mtry2" 0.672531098105776 0.635999182780284 0.635
"100" "parRF_mtry64" 0.672531098105776 0.635999182780284 0.635
"66" "gbm_3_50" 0.685153295329276 0.637171779844198 0.66
"62" "gbm_1_150" 0.687008983303089 0.637341885468665 0.645
"98" "parRF_mtry16" 0.712540056474714 0.639626657535361 0.63
"79" "rf_mtry64" 0.717616509106305 0.640069350934132 0.625
"76" "rf_mtry8" 0.719757008939044 0.640254937233328 0.63
"105" "knn_k5" 0.723813536522902 0.640604937713275 0.625
"95" "parRF_mtry2" 0.724204156011043 0.640638524192336 0.635
"8" "rpart" 0.728181957112898 0.640979401667167 0.625
"121" "gcvEarth_d2" 0.728756883067003 0.641028499392013 0.64
"122" "gcvEarth_d3" 0.728756883067003 0.641028499392013 0.64
"80" "rf_mtry128" 0.730508099792953 0.641177788584232 0.63
"75" "rf_mtry4" 0.732666232344623 0.641361229784985 0.635
"78" "rf_mtry32" 0.732666232344623 0.641361229784985 0.635
"96" "parRF_mtry4" 0.732666232344623 0.641361229784985 0.635
"97" "parRF_mtry8" 0.732666232344623 0.641361229784985 0.635
"111" "Ibk_k5" 0.735821010509939 0.641628334671524 0.62
"13" "JRip_Unp" 0.740166641899341 0.641994261942046 0.63
"63" "gbm_2_50" 0.793176993256401 0.646289392085706 0.64
"106" "knn_k7" 0.840290732293048 0.649863843785929 0.645
"37" "lvq_1" 1.04212067578313 0.662036582180023 0.655
"112" "Ibk_k7" 1.06150840738876 0.662902703914051 0.665
"35" "avNNet_decay0" 1.07800927238186 0.663595156503979 0.65
"39" "lvq_5" 1.0794945380166 0.663655482101885 0.635
"3" "J48" 1.1179913645179 0.665106899695069 0.65
"4" "J48Unp" 1.1179913645179 0.665106899695069 0.65
"59" "svmPoly_d_3_s_0.1" 1.12487700166954 0.66534453846866 0.65
"44" "svmRadialCost_C2" 1.12643759189943 0.665397512722378 0.665
"33" "avNNet_decay1e04" 1.1442977360053 0.665981199848018 0.65
